Composition,Ref,Density,Young_Modulus_ROM,Young_Modulus_Exp,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Testing_Temp,Yield_Strength,Specific_Strength
MoNbTaTi0.25W,[47],13.1,249.4,,AC,S,BCC,C,RT,1109,84.7
MoNbTaTi0.5W,[47],12.6,242,,AC,S,BCC,C,RT,1211,96.1
MoNbTaTi0.75W,[47],12.2,235.4,,AC,S,BCC,C,RT,1304,107.3
MoNbTaTiV,[48],9.4,172.8,130.5 [38]/139.2 [48],AC,S,BCC,C,RT,1400,149.4
MoNbTaTiVW,[49],11,212.5,164,AC,S,BCC,C,RT,1515,138.1
MoNbTaTiVW,[49],11,,,AC,S,BCC,C,1200,659,60.1
MoNbTaTiVW,[49],11,,,AC,S,BCC,C,1000,752.8,68.6
MoNbTaTiVW,[49],11,,,AC,S,BCC,C,800,791.3,72.1
MoNbTaTiVW,[49],11,,,AC,S,BCC,C,600,973,88.7
MoNbTaTiW,[47],11.8,229.4,,AC,S,BCC,C,RT,1455,123.8
MoNbTaTiW,[49],11.8,229.4,156,AC,S,BCC,C,RT,1343,114.2
MoNbTaTiW,[49],11.8,,,AC,S,BCC,C,1200,586,49.8
MoNbTaTiW,[49],11.8,,,AC,S,BCC,C,1000,620,52.7
MoNbTaTiW,[49],11.8,,,AC,S,BCC,C,800,674,57.3
MoNbTaTiW,[49],11.8,,,AC,S,BCC,C,600,689,58.6
MoNbTaTiZr,[50],9.1,,153,AC,M,2 BCC,C,RT,1390,152.2
MoNbTaTiZr,[51],9.1,,,AC,M,2 BCC,C,RT,1375,150.5
MoNbTaTiZr,[51],9.1,,,A,M,2 BCC,C,RT,1100,120.4
MoNbTaV,[52],10.7,187,,AC,S,BCC,C,RT,1525,142.7
MoNbTaVW,[53],12.4,231.8,204.5 [19]/218.0 [58] [180.0]/[44.6 [58]],SPS,S,BCC,C,RT,2612,211
MoNbTaVW,[54],12.4,231.8,[19]/218.0 [58],HIP+A,S,BCC,C,RT,1246,100.7
MoNbTaVW,[54],12.4,,,HIP+A,S,BCC,C,1600,477,38.5
MoNbTaVW,[54],12.4,,,HIP+A,S,BCC,C,1400,656,53
MoNbTaVW,[54],12.4,,,HIP+A,S,BCC,C,1200,735,59.4
MoNbTaVW,[54],12.4,,,HIP+A,S,BCC,C,1000,842,68
MoNbTaVW,[54],12.4,,,HIP+A,S,BCC,C,800,846,68.4
MoNbTaVW,[54],12.4,,,HIP+A,S,BCC,C,600,862,69.6
MoNbTaW,[47],13.7,257.8,228.7 [19],AC,S,BCC,C,RT,996,72.9
MoNbTaW,[54],13.7,257.8,(220.0)/228.7,HIP+A,S,BCC,C,RT,1058,77.5
MoNbTaW,[54],13.7,,[19],HIP+A,S,BCC,C,1600,405,29.6
MoNbTaW,[54],13.7,,,HIP+A,S,BCC,C,1400,421,30.8
MoNbTaW,[54],13.7,,,HIP+A,S,BCC,C,1200,506,37
MoNbTaW,[54],13.7,,,HIP+A,S,BCC,C,1000,548,40.1
MoNbTaW,[54],13.7,,,HIP+A,S,BCC,C,800,552,40.4
MoNbTaW,[54],13.7,,,HIP+A,S,BCC,C,600,561,41.1
MoNbTiV,[3],7.3,169.5,161.1 [57],AC,S,BCC,C,RT,1200,163.4
MoNbTiV0.25Zr,[55],7.3,152.9,141.6 [59],AC,S,BCC,C,RT,1750,241.2
MoNbTiV0.3Zr,[46],7.2,152.7,,AC,S,BCC,C,RT,1455,200.8
MoNbTiV0.5Zr,[55],7.2,151.6,141.7 [59],AC,S,BCC,C,RT,1640,227.5
MoNbTiV0.75Zr,[55],7.2,150.3,141.5 [59],AC,S,BCC,C,RT,1680,234.5
MoNbTiV1.5Zr,[55],7.1,,,AC,M,2 BCC,C,RT,1720,243.9
MoNbTiV2Zr,[55],7,,,AC,M,2 BCC,C,RT,1520,217.5
MoNbTiV3Zr,[55],6.9,,,AC,M,2 BCC,C,RT,1415,205.5
MoNbTiVZr,[46],7.1,149.2,139.5 [60]/141.1 [59],AC,S,BCC,C,RT,1779,249.7
MoNbTiVZr,[55],7.1,149.2,139.5 [60]/141.1 [59],AC,S,BCC,C,RT,1770,248.5
MoNbTiZr,[55],7.3,154.5,140.1 [60]/142.7 [59],AC,S,BCC,C,RT,1560,213.4
MoTaTiV,[6],9.6,189.8,,AC,S,BCC,C,RT,1221,127.4
NbTaTiV,[4],9.2,133.8,108,AC,S,BCC,C,RT,1092,119.1
NbTaTiV,[56],9.2,133.8,,AC,S,BCC,C,RT,965,105.2
NbTaTiVW,[56],11.1,189.2,257.3 [58],AC,S,BCC,C,RT,1420,127.9
NbTaVW,[56],12.9,207.5,,AC,S,BCC,C,RT,1530,118.7
NbTiV0.3Zr,[46],6.5,99.2,,AC,S,BCC,C,RT,866,133
NbTiV2Zr,[21],6.4,,,HIP+A,M,3 BCC,C,RT,918,143.3
NbTiV2Zr,[21],6.4,,,HIP+A,M,3 BCC,C,1000,72,11.2
NbTiV2Zr,[21],6.4,,,HIP+A,M,3 BCC,C,800,240,37.5
NbTiV2Zr,[21],6.4,,,HIP+A,M,3 BCC,C,600,571,89.1
NbTiVZr,[21],6.5,,,HIP+A,M,2 BCC,C,RT,1105,171.1
NbTiVZr,[21],6.5,,,HIP+A,M,2 BCC,C,1000,58,9
NbTiVZr,[21],6.5,,,HIP+A,M,2 BCC,C,800,187,29
NbTiVZr,[21],6.5,,,HIP+A,M,2 BCC,C,600,834,129.1
NbTiVZr,[46],6.5,104.3,119.7 [60]/121.1 [59],AC,S,BCC,C,RT,1104,170.9
